,Unnamed: 0,movieId,title,genres,avg_rating,number_of_viewers,imdbId,tmdbId,adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,video,vote_average,vote_count
20,20,21,Get Shorty,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",3.49438202247191,89.0,113161,8012.0,False,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/klwDyihoCqOZ19lMwtlaaSCGH2w.jpg', 'backdrop_path': '/6KEpKs5asAqOwEr9XrOZJSMHW7O.jpg'}",30250000,,8012,tt0113161,['US'],en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",3.3142,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,"[{'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}, {'id': 216, 'logo_path': '/iKPzC6YxqNAk6fMoTtFhIF5p6yw.png', 'name': 'Jersey Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-20,115101622,105,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Attitude plays a part.,False,6.5,1180
21,21,22,Copycat,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",3.2222222222222223,36.0,112722,1710.0,False,/f0wTYitK1lELuGygXslG7SQpY0E.jpg,,20000000,,1710,tt0112722,['US'],en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,3.0319,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,"[{'id': 508, 'logo_path': '/4sGWXoboEkWPphI6es6rTmqkCBh.png', 'name': 'Regency Enterprises', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-27,32000000,124,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",False,6.465,1209
22,22,23,Assassins,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",3.125,16.0,112401,9691.0,False,/sYpmWBe1IO7Fxthtw3UmlzQEylK.jpg,,50000000,https://www.warnerbros.com/movies/assassins,9691,tt0112401,['US'],en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",2.7703,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,"[{'id': 174, 'logo_path': '/zhD3hhtKB5qyv7ZeL4uLpNxgMVU.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 1885, 'logo_path': '/xlvoOZr4s1PygosrwZyolIFe5xs.png', 'name': 'Silver Pictures', 'origin_country': 'US'}, {'id': 5739, 'logo_path': None, 'name': 'Donner/Shuler-Donner Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-06,30303072,132,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,In the shadows of life. In the business of death. One man found a reason to live.,False,6.492,1671
23,23,24,Powder,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",3.125,28.0,114168,12665.0,False,/gAeFtnwgF4asNVbmrudWMHOilWj.jpg,,9500000,,12665,tt0114168,['US'],en,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",3.5263,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,"[{'id': 915, 'logo_path': '/4neXXpjSJDZPBGBnfWtqysB5htV.png', 'name': 'Hollywood Pictures', 'origin_country': 'US'}, {'id': 175, 'logo_path': '/Aruhqf13whJ0bNSgtv1gt3xclT6.png', 'name': 'Caravan Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-27,30900000,112,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,An extraordinary encounter with another human being.,False,7.001,703
24,24,25,Leaving Las Vegas,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.625,76.0,113627,451.0,False,/5m5VhSN1lTk3egtrNzqNv5nwMuG.jpg,,3600000,http://www.mgm.com/title_title.do?title_star=LEAVINGL,451,tt0113627,['US'],en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",2.8969,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,"[{'id': 15547, 'logo_path': None, 'name': 'Initial Productions', 'origin_country': 'FR'}, {'id': 25129, 'logo_path': '/9kyYRk8aHbIdJCIj3cLh1f6FTXR.png', 'name': 'Lumière Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-10-27,49800000,111,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,I love you... The way you are.,False,7.248,1600
25,25,26,Othello,"[{'id': 18, 'name': 'Drama'}]",3.5,13.0,114057,16420.0,False,/7SqIfSVW3xKTk07FbUm4LrhOOeL.jpg,,11000000,,16420,tt0114057,['US'],en,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,0.9173,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,"[{'id': 97, 'logo_path': '/smyTD67uNsdaySnnjVDmh0kyotp.png', 'name': 'Castle Rock Entertainment', 'origin_country': 'US'}, {'id': 16105, 'logo_path': None, 'name': 'Dakota Films', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,2800000,123,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Envy, greed, jealousy and love.",False,6.3,148
26,26,27,Now and Then,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.3333333333333335,9.0,114011,9263.0,False,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,,12000000,,9263,tt0114011,['US'],en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1.8397,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-20,27400000,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,In every woman there is the girl she left behind.,False,6.877,468
27,27,28,Persuasion,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4.2272727272727275,11.0,114117,17015.0,False,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg,,1500000,https://web.archive.org/web/20150402132323/http://www.sonypictures.com/movies/persuasion/,17015,tt0114117,"['US', 'GB']",en,Persuasion,"In early 19th-century England, dire financial straits reacquaint the aristocratic Anne Elliot with her wealthy ex-fiance Frederick Wentworth. The two must choose between either putting the past behind them or listening to their hearts.",3.2096,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,"[{'id': 288, 'logo_path': '/aW0IpM9d4Zjj978EqgDVSxXXhTj.png', 'name': 'BBC Film', 'origin_country': 'GB'}, {'id': 132236, 'logo_path': None, 'name': 'Millésime Productions', 'origin_country': ''}, {'id': 10197, 'logo_path': '/lRah8iyzBZJ90ZgsKUIWUU9XnRu.png', 'name': 'GBH', 'origin_country': 'US'}, {'id': 11359, 'logo_path': '/aqWJRi66t2oMPMmC60CdK9I3WQd.png', 'name': 'France 2', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-05-01,5269757,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"A love lost, but never forgotten",False,7.1,140
28,28,29,The City of Lost Children,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",4.0131578947368425,38.0,112682,902.0,False,/yDjsUoEANHggKFabkAyTu3Y9j4N.jpg,,18000000,,902,tt0112682,['FR'],fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",2.5753,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,"[{'id': 25021, 'logo_path': None, 'name': 'Constellation', 'origin_country': 'FR'}, {'id': 25129, 'logo_path': '/9kyYRk8aHbIdJCIj3cLh1f6FTXR.png', 'name': 'Lumière Pictures', 'origin_country': 'GB'}, {'id': 183, 'logo_path': '/eadyph99FClrWlnE0jPniwOcvvw.png', 'name': 'Le Studio Canal+', 'origin_country': 'FR'}, {'id': 591, 'logo_path': '/q5I5RDwMEiqoNmfaJgd2LraEOJY.png', 'name': 'France 3 Cinéma', 'origin_country': 'FR'}, {'id': 12009, 'logo_path': None, 'name': 'Elías Querejeta PC', 'origin_country': 'ES'}, {'id': 1469, 'logo_path': '/AwbErjR0AMpVnN9PbdHiBB3g3q0.png', 'name': 'Tele München', 'origin_country': 'DE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-05-17,1738611,112,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,Where happily ever after is just a dream.,False,7.237,1186
29,29,30,Shanghai Triad,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",3.0,3.0,115012,37557.0,False,/gHG1OogmvDJldyi1tjqncjoblKV.jpg,,2300000,,37557,tt0115012,['CN'],zh,摇啊摇，摇到外婆桥,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",1.3028,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,"[{'id': 4507, 'logo_path': None, 'name': 'Alpha Films', 'origin_country': ''}, {'id': 16366, 'logo_path': '/llLC13cdNDmJbq0E0PG8fraWsLp.png', 'name': 'La Sept Cinéma', 'origin_country': 'FR'}, {'id': 581, 'logo_path': '/pzJLNyKypqwAgLR4OjmaxA5WEjm.png', 'name': 'UGC', 'origin_country': 'FR'}, {'id': 111276, 'logo_path': None, 'name': 'Shanghai Film Studios', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1995-09-14,0,108,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Released,"In 1930, Shanghai violence was not the problem. It was the solution.",False,6.8,105
30,30,31,Dangerous Minds,"[{'id': 18, 'name': 'Drama'}]",3.1842105263157894,38.0,112792,9909.0,False,/k28lTv01nuncbs9Y2WZh6FQunqv.jpg,,23000000,,9909,tt0112792,['US'],en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",2.5323,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,"[{'id': 10288, 'logo_path': '/Aszf09kIVXR6cwG9lwjZIawbYVS.png', 'name': 'Don Simpson/Jerry Bruckheimer Films', 'origin_country': 'US'}, {'id': 915, 'logo_path': '/4neXXpjSJDZPBGBnfWtqysB5htV.png', 'name': 'Hollywood Pictures', 'origin_country': 'US'}, {'id': 10103, 'logo_path': None, 'name': 'Via Rosa Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-08-11,179519401,99,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,She broke the rules... and changed their lives.,False,6.962,1232
31,31,32,Twelve Monkeys,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",3.983050847457627,177.0,114746,63.0,False,/mKIkGoyuR71qz6FdiEiOjxvBQcS.jpg,,29000000,,63,tt0114746,['US'],en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",9.6682,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 507, 'logo_path': '/aRmHe6GWxYMRCQljF75rn2B9Gv8.png', 'name': 'Atlas Entertainment', 'origin_country': 'US'}, {'id': 17031, 'logo_path': None, 'name': 'Classico', 'origin_country': ''}, {'id': 207976, 'logo_path': None, 'name': 'Twelve Monkeys Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-29,168841459,129,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,The future is history.,False,7.6,8930
32,32,34,Babe,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",3.65234375,128.0,112431,9598.0,False,/agkZziO4ZPAsVfKUrJD68lys08P.jpg,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/mpR2iVU0huu4Pe2hnSMEDbCqoWt.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",30000000,,9598,tt0112431,['US'],en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",6.1681,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 2537, 'logo_path': None, 'name': 'Kennedy Miller Productions', 'origin_country': 'AU'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-07-18,254100000,92,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A little pig goes a long way.,False,6.3,3063
33,33,36,Dead Man Walking,"[{'id': 18, 'name': 'Drama'}]",3.835820895522388,67.0,112818,687.0,False,/gwRWQeHfPuA8mg73kydQsM8rdXq.jpg,,11000000,,687,tt0112818,"['GB', 'US']",en,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1.9358,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,"[{'id': 406, 'logo_path': None, 'name': 'Havoc', 'origin_country': ''}, {'id': 1382, 'logo_path': '/8b5XGJ8YhZoEo9LgFP8KRQWHjYL.png', 'name': 'PolyGram Filmed Entertainment', 'origin_country': 'US'}, {'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 17992, 'logo_path': '/wbnyYL2QhDn8KWuz5htsbOJnVLA.png', 'name': 'PolyGram Video', 'origin_country': ''}, {'id': 37, 'logo_path': '/wniaiKc5UCnC8qZcNKZNYwdKnUv.png', 'name': 'Gramercy Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-12-29,39363635,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,False,7.321,1464
34,34,38,It Takes Two,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",2.125,4.0,113442,33689.0,False,/yS3E5LOcFsk3eWGh3oWGnsfV1M8.jpg,,14500000,,33689,tt0113442,['US'],en,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1.9553,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,"[{'id': 6130, 'logo_path': None, 'name': 'Dualstar Productions', 'origin_country': ''}, {'id': 89131, 'logo_path': None, 'name': 'Orr & Cruickshank', 'origin_country': ''}, {'id': 11661, 'logo_path': '/xMrUWnDUgL1CZGousc4iyR7utbR.png', 'name': 'Rysher Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-11-17,19474589,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Two identical strangers. Two different worlds. One perfect match.,False,6.498,953
35,35,39,Clueless,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3.293269230769231,104.0,112697,9603.0,False,/65d0MccsiRSPTVicregKQL8owoo.jpg,,12000000,,9603,tt0112697,['US'],en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",7.119,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,"[{'id': 4, 'logo_path': '/jay6WcMgagAklUt7i9Euwj1pzTF.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 12245, 'logo_path': None, 'name': 'Robert Lawrence Productions', 'origin_country': 'US'}, {'id': 258, 'logo_path': '/tMI4xPwgxfNaNId3h9dOcHGU1NI.png', 'name': 'Scott Rudin Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-07-19,56631572,97,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Sex. Clothes. Popularity. Whatever.,False,7.257,4712
36,36,40,"Cry, the Beloved Country","[{'id': 18, 'name': 'Drama'}]",4.25,2.0,112749,34615.0,False,/i1b7potegowFC5g11Bs4kdqOVDE.jpg,,0,https://www.miramax.com/movie/cry-the-beloved-country/,34615,tt0112749,['US'],en,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.6802,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,"[{'id': 89840, 'logo_path': None, 'name': 'Alpine Pty Limited', 'origin_country': ''}, {'id': 85681, 'logo_path': '/1GZ94KYANlFvEyt6iUL0O3MAON4.png', 'name': 'Distant Horizon', 'origin_country': 'ZA'}, {'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,676525,106,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,False,6.7,26
37,37,41,Richard III,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",3.7,15.0,114279,31174.0,False,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg,,0,,31174,tt0114279,"['US', 'GB']",en,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",1.3092,/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,"[{'id': 34237, 'logo_path': None, 'name': 'Mayfair Entertainment International', 'origin_country': 'GB'}, {'id': 871, 'logo_path': None, 'name': 'British Screen', 'origin_country': 'GB'}, {'id': 60, 'logo_path': '/4YldLvCWQL9VIAHQ2Fu3Ffkh9Si.png', 'name': 'United Artists', 'origin_country': 'US'}, {'id': 13534, 'logo_path': '/vAbdXfuYEakiBnrCDJf3ez50geK.png', 'name': 'First Look Pictures', 'origin_country': 'US'}, {'id': 38025, 'logo_path': None, 'name': 'Bayly/Paré Productions', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995-12-29,2748518,104,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"I can smile, and murder while I smile",False,6.744,193
38,38,42,Dead Presidents,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",3.0,7.0,112819,11443.0,False,/c8H6Xi9im1tT6HP9PA9HpFE3sOy.jpg,,10000000,,11443,tt0112819,['US'],en,Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,2.3964,/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,"[{'id': 175, 'logo_path': '/Aruhqf13whJ0bNSgtv1gt3xclT6.png', 'name': 'Caravan Pictures', 'origin_country': 'US'}, {'id': 476, 'logo_path': None, 'name': 'Underworld Pictures', 'origin_country': 'US'}, {'id': 915, 'logo_path': '/4neXXpjSJDZPBGBnfWtqysB5htV.png', 'name': 'Hollywood Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-29,24100000,119,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"In this daring heist, the only color that counts is green",False,6.7,314
39,39,43,Restoration,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",3.1875,8.0,114272,35196.0,False,/nrd3UFXhaqV6odGd9cOVJfdqqGT.jpg,,19000000,,35196,tt0114272,['US'],en,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",1.6359,/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,"[{'id': 14, 'logo_path': '/m6AHu84oZQxvq7n1rsvMNJIAsMu.png', 'name': 'Miramax', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-29,4005941,117,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"An ordinary man, an irresistible offer. In a world of seduction and power, temptation has its price.",False,6.0,129
40,40,44,Mortal Kombat,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",2.5434782608695654,46.0,113855,9312.0,False,/dfU9xyEEyLxvZ5unTn05Whm9Lce.jpg,"{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/vpXyAxrNUcLec1HkA6w4mJlOXhO.jpg', 'backdrop_path': '/bCgW3MoAyabfEaq70v9a43P9CCF.jpg'}",18000000,http://www.mortalkombat.com,9312,tt0113855,['US'],en,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes.",4.1973,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,"[{'id': 12, 'logo_path': '/2ycs64eqV5rqKYHyQK0GVoKGvfX.png', 'name': 'New Line Cinema', 'origin_country': 'US'}, {'id': 4174, 'logo_path': None, 'name': 'Threshold Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-08-18,122195920,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing in this world has prepared you for this.,False,5.874,2458
